"","fold1","fold2","fold3","fold4"
"1",NA,NA,0.177298259067231,NA
"2",NA,0.855187664138672,NA,NA
"3",NA,NA,0.150194978639138,NA
"4",NA,NA,NA,0.142120335999922
"5",0.520127325086661,NA,NA,NA
"6",NA,NA,0.221930783587343,NA
"7",0.0158766875302983,NA,NA,NA
"8",NA,0.117318676622846,NA,NA
"9",NA,NA,0.0827483380011801,NA
"10",NA,NA,NA,0.156079815192315
"11",0.00629538931958541,NA,NA,NA
"12",NA,0.658654712018436,NA,NA
"13",NA,NA,0.339982651052915,NA
"14",0.0222798717479924,NA,NA,NA
"15",NA,0.314163004896952,NA,NA
"16",0.0698028717727649,NA,NA,NA
"17",NA,NA,NA,0.512779978852352
"18",NA,0.104295178955272,NA,NA
"19",NA,NA,NA,0.184289313883995
"20",NA,NA,NA,0.0542924263295912
"21",0.486531814503147,NA,NA,NA
"22",NA,0.0232514495209097,NA,NA
"23",NA,NA,NA,0.269555222698009
"24",NA,NA,0.94233763673173,NA
"25",NA,NA,NA,0.490085634667305
"26",NA,0.496342669764721,NA,NA
"27",0.0193479045633863,NA,NA,NA
"28",NA,NA,NA,0.134869149027694
"29",NA,0.402532400315814,NA,NA
"30",0.124212698977621,NA,NA,NA
"31",NA,0.150560959004695,NA,NA
"32",NA,NA,NA,0.0605235622727492
"33",NA,0.0314109536653147,NA,NA
"34",NA,NA,NA,0.0111986394407396
"35",NA,NA,NA,0.308060322574495
"36",NA,NA,NA,0.411401010786012
"37",NA,0.0579699939183186,NA,NA
"38",NA,NA,0.445522368146979,NA
"39",0.381535729269549,NA,NA,NA
"40",NA,NA,NA,0.321836426273616
"41",0.0646566947193093,NA,NA,NA
"42",NA,NA,NA,0.0324453598132217
"43",NA,NA,0.0278140292240541,NA
"44",NA,NA,0.525835660991838,NA
"45",0.0223433462765405,NA,NA,NA
"46",NA,0.269697939906287,NA,NA
"47",NA,0.484242843292522,NA,NA
"48",NA,NA,NA,0.186703478073927
"49",NA,NA,0.426148790468744,NA
"50",NA,NA,0.0641273738423849,NA
"51",0.00604151734088209,NA,NA,NA
"52",NA,0.0120607835107417,NA,NA
"53",0.274396143102011,NA,NA,NA
"54",NA,NA,NA,0.635172125657857
"55",NA,NA,0.86111829370757,NA
"56",NA,2.35046299749055e-08,NA,NA
"57",NA,NA,NA,0.0311179623904846
